Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
Intel Core i7-4870HQ,CPU,2014-07-01,22.0,47.0,264.0,1400.0,2500.0,Intel,Intel,,,
AMD Athlon 600,CPU,2000-06-05,180.0,38.0,120.0,37.0,600.0,Unknown,AMD,,,
AMD Athlon II X2 235e,CPU,2009-10-20,45.0,45.0,117.0,410.0,2700.0,Unknown,AMD,,,
Intel Pentium M 735,CPU,2004-05-10,90.0,21.0,84.0,140.0,1700.0,Intel,Intel,,,
AMD Athlon 64 X2 5800+,CPU,2008-04-01,65.0,89.0,126.0,154.0,3000.0,Unknown,AMD,,,
AMD Athlon XP 2000+,CPU,2003-09-01,130.0,60.0,,63.0,1667.0,Unknown,AMD,,,
Intel Core i5-680,CPU,2010-04-19,32.0,73.0,81.0,382.0,3600.0,Intel,Intel,,,
Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,109.0,125.0,2660.0,Intel,Intel,,,
Intel Core 2 Quad Q9650,CPU,2008-08-10,45.0,95.0,107.0,820.0,3000.0,Intel,Intel,,,
Intel Core i5-460M,CPU,2010-09-26,32.0,35.0,81.0,382.0,2534.0,Intel,Intel,,,
Intel Xeon E3-1260L,CPU,2011-04-03,32.0,45.0,216.0,1160.0,2400.0,Intel,Intel,,,
Intel Pentium E6700,CPU,2010-05-30,45.0,65.0,82.0,228.0,3200.0,Intel,Intel,,,
AMD Athlon 64 X2 4400+,CPU,2006-05-23,90.0,89.0,220.0,154.0,2200.0,Unknown,AMD,,,
Intel Xeon Phi 7210,CPU,2016-06-20,14.0,215.0,,8000.0,1300.0,Intel,Intel,,,
Intel Pentium G645,CPU,2012-09-02,32.0,65.0,131.0,504.0,2900.0,Intel,Intel,,,
Intel Core 2 Solo ULV U2200,CPU,2007-09-01,65.0,5.0,143.0,291.0,1200.0,Intel,Intel,,,
Intel Core i3-4330,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3500.0,Intel,Intel,,,
AMD Phenom II 42 TWKR Black Edition,CPU,2009-06-01,45.0,125.0,258.0,758.0,2000.0,Unknown,AMD,,,
AMD Phenom II X4 925,CPU,2009-05-11,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD,,,
AMD Ryzen 7 PRO 2700,CPU,2018-09-19,12.0,65.0,192.0,4800.0,3200.0,GF,AMD,,,
Intel Celeron N2910,CPU,2013-09-11,22.0,7.0,,,1600.0,Intel,Intel,,,
AMD EPYC 7F32,CPU,2020-04-14,7.0,180.0,74.0,3800.0,3700.0,TSMC,AMD,,,
Intel Core 2 Extreme QX9775,CPU,2008-03-24,45.0,150.0,107.0,820.0,3200.0,Intel,Intel,,,
AMD Athlon 64 3500+ (F3),CPU,2007-02-20,90.0,59.0,1.0,154.0,2200.0,Unknown,AMD,,,
Intel Xeon 7140N,CPU,2006-08-27,65.0,150.0,435.0,1328.0,3333.0,Intel,Intel,,,
Intel Core 2 Duo E6700,CPU,2006-07-27,65.0,65.0,143.0,291.0,2667.0,Intel,Intel,,,
Intel Pentium 4 HT EE 3.20,CPU,2003-11-03,130.0,110.0,237.0,178.0,3200.0,Intel,Intel,,,
Intel Pentium E6800,CPU,2010-08-29,45.0,65.0,82.0,228.0,3333.0,Intel,Intel,,,
Intel Xeon Platinum 8180,CPU,2017-07-11,14.0,205.0,,8000.0,2500.0,Intel,Intel,,,
AMD Athlon II X2 265,CPU,2010-09-21,45.0,65.0,117.0,410.0,3300.0,Unknown,AMD,,,
AMD Phenom X4 9500,CPU,2007-11-19,65.0,95.0,285.0,450.0,2200.0,Unknown,AMD,,,
AMD Turion 64 MT-28,CPU,2005-06-22,90.0,22.0,125.0,114.0,1600.0,Unknown,AMD,,,
Intel Xeon W3550,CPU,2009-08-09,45.0,130.0,263.0,731.0,3066.0,Intel,Intel,,,
Intel Celeron 725C,CPU,2011-07-01,32.0,17.0,131.0,504.0,1300.0,Intel,Intel,,,
AMD EPYC 7251,CPU,2017-06-29,14.0,120.0,213.0,4800.0,2100.0,GF,AMD,,,
AMD Ryzen 9 4900HS,CPU,2020-03-07,7.0,35.0,156.0,9800.0,3000.0,TSMC,AMD,,,
AMD A10-4655M,CPU,2012-05-15,32.0,25.0,246.0,1178.0,2000.0,Unknown,AMD,,,
Intel Atom Z510,CPU,2008-04-02,45.0,2.0,26.0,47.0,1100.0,Intel,Intel,,,
AMD FX-4130,CPU,2013-01-30,32.0,125.0,315.0,1200.0,3800.0,Unknown,AMD,,,
Intel Xeon E3-1265L v2,CPU,2012-05-14,22.0,45.0,160.0,1400.0,2500.0,Intel,Intel,,,
Intel Celeron G1820TE,CPU,2013-12-01,22.0,54.0,177.0,1400.0,2200.0,Intel,Intel,,,
Intel Pentium E5400,CPU,2009-01-18,45.0,65.0,82.0,228.0,2700.0,Intel,Intel,,,
AMD Athlon XP 2500+ DTR,CPU,2003-02-10,130.0,68.0,101.0,63.0,1833.0,Unknown,AMD,,,
AMD A10-5800K,CPU,2012-10-02,32.0,100.0,246.0,1178.0,3800.0,Unknown,AMD,,,
Intel Xeon Gold 5317,CPU,2021-04-06,10.0,150.0,,,3000.0,Intel,Intel,,,
AMD Athlon II X4 631,CPU,2011-08-17,32.0,100.0,228.0,1178.0,2600.0,Unknown,AMD,,,
AMD Opteron 846,CPU,2004-12-01,90.0,85.0,,106.0,2000.0,Unknown,AMD,,,
AMD Athlon 64 X2 3800+,CPU,2005-08-01,90.0,89.0,156.0,154.0,2000.0,Unknown,AMD,,,
AMD Opteron 848,CPU,2003-11-17,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,
Intel Core i7-2670QM,CPU,2011-10-12,32.0,45.0,216.0,1160.0,2200.0,Intel,Intel,,,
AMD Phenom II X6 1035T,CPU,2010-04-27,45.0,95.0,346.0,904.0,2600.0,Unknown,AMD,,,
Intel Xeon Platinum 8354H,CPU,2021-04-06,14.0,205.0,,,3100.0,Intel,Intel,,,
AMD Sempron 3400+,CPU,2005-08-01,90.0,62.0,84.0,63.0,2000.0,Unknown,AMD,,,
AMD Athlon 64 3500+ EE,CPU,2007-02-20,90.0,35.0,183.0,154.0,2200.0,Unknown,AMD,,,
AMD Ryzen 5 PRO 1600,CPU,2017-06-29,14.0,65.0,192.0,4800.0,3200.0,GF,AMD,,,
AMD Athlon 64 3200+,CPU,2004-04-27,130.0,89.0,144.0,69.0,2000.0,Unknown,AMD,,,
Intel Xeon Platinum 8280,CPU,2018-12-11,14.0,205.0,,8000.0,2700.0,Intel,Intel,,,
Intel Xeon Gold 6346,CPU,2021-04-06,10.0,205.0,,,3100.0,Intel,Intel,,,
Intel Pentium G4620,CPU,2017-01-03,14.0,51.0,,,3700.0,Intel,Intel,,,
AMD Athlon 64 2800+,CPU,2004-04-27,130.0,32.0,144.0,69.0,1800.0,Unknown,AMD,,,
AMD Ryzen 7 3800XT,CPU,2020-07-07,7.0,105.0,74.0,3800.0,3800.0,TSMC,AMD,,,
Intel Pentium 957,CPU,2011-06-19,32.0,17.0,131.0,504.0,1200.0,Intel,Intel,,,
AMD Turion 64 MT-40,CPU,2005-08-08,90.0,25.0,125.0,114.0,2200.0,Unknown,AMD,,,
Intel Xeon X5667,CPU,2010-03-16,32.0,95.0,239.0,1170.0,3066.0,Intel,Intel,,,
Intel Celeron 807,CPU,2012-07-01,32.0,17.0,131.0,504.0,1500.0,Intel,Intel,,,
AMD Phenom X4 9950 BE (125W),CPU,2008-10-01,65.0,125.0,285.0,450.0,2600.0,Unknown,AMD,,,
AMD Athlon II X3 425e,CPU,2011-05-03,45.0,45.0,169.0,300.0,2700.0,Unknown,AMD,,,
AMD Athlon XP-M 2400+,CPU,2001-01-01,130.0,45.0,101.0,63.0,1800.0,Unknown,AMD,,,
Intel Xeon W3570,CPU,2009-03-30,45.0,130.0,263.0,731.0,3200.0,Intel,Intel,,,
Intel Celeron E1400,CPU,2008-04-20,65.0,65.0,77.0,105.0,2000.0,Intel,Intel,,,
Intel Xeon E5640,CPU,2010-03-16,32.0,80.0,239.0,1170.0,2666.0,Intel,Intel,,,
AMD A4-3310MX,CPU,2011-06-14,32.0,35.0,228.0,1178.0,2100.0,Unknown,AMD,,,
AMD Ryzen 3 4300U,CPU,2020-01-06,7.0,25.0,156.0,9800.0,2700.0,TSMC,AMD,,,
Intel Core i7-7800X,CPU,2017-06-26,14.0,140.0,,,3500.0,Intel,Intel,,,
Intel Celeron D 346,CPU,2004-10-01,90.0,73.0,109.0,125.0,3060.0,Intel,Intel,,,
AMD Sempron 3000+ EE SFF,CPU,2006-05-23,90.0,35.0,103.0,81.0,1600.0,Unknown,AMD,,,
Intel Core i7-10700KF,CPU,2020-04-30,14.0,125.0,,,3800.0,Intel,Intel,,,
AMD Athlon 64 LE-1640B,CPU,2008-04-28,65.0,45.0,77.0,122.0,2700.0,Unknown,AMD,,,
AMD Opteron 248,CPU,2004-05-18,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,
Intel Pentium B950,CPU,2011-06-19,32.0,35.0,131.0,504.0,2100.0,Intel,Intel,,,
AMD Athlon II X4 615e,CPU,2010-09-21,45.0,45.0,169.0,300.0,2500.0,Unknown,AMD,,,
Intel Mobile Pentium 4 HT 2.80,CPU,2003-09-23,130.0,68.0,131.0,55.0,2800.0,Intel,Intel,,,
Intel Core i7-640M,CPU,2010-09-01,32.0,35.0,81.0,384.0,2800.0,Intel,Intel,,,
Intel Xeon X5677,CPU,2010-03-16,32.0,130.0,239.0,1170.0,3466.0,Intel,Intel,,,
Intel Core i3-4370,CPU,2014-07-01,22.0,54.0,177.0,1400.0,3800.0,Intel,Intel,,,
Intel Core i3-7360X,CPU,2017-10-03,14.0,112.0,,,4300.0,Intel,Intel,,,
AMD Athlon XP 2200+,CPU,2001-01-01,130.0,63.0,80.0,37.0,1800.0,Unknown,AMD,,,
AMD A6-9500,CPU,2017-07-27,28.0,65.0,246.0,1178.0,3500.0,Unknown,AMD,,,
AMD Athlon 64 FX-53,CPU,2004-03-18,130.0,89.0,193.0,105.0,2400.0,Unknown,AMD,,,
AMD Ryzen 7 PRO 4750GE,CPU,2020-07-21,7.0,35.0,,,3100.0,TSMC,AMD,,,
Intel Core i5-3317U,CPU,2012-06-01,22.0,17.0,118.0,,1700.0,Intel,Intel,,,
Intel Core i5-4590S,CPU,2014-05-01,22.0,65.0,177.0,1400.0,2900.0,Intel,Intel,,,
Intel Core i3-9100,CPU,2018-09-01,14.0,65.0,,,3700.0,Intel,Intel,,,
AMD Athlon 64 3800+,CPU,2004-06-01,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,
AMD Opteron 6272,CPU,2011-11-14,32.0,115.0,316.0,2400.0,2100.0,Unknown,AMD,,,
Intel Core i7-5930K,CPU,2014-09-01,22.0,140.0,356.0,2600.0,3500.0,Intel,Intel,,,
AMD Turion 64 ML-28,CPU,2005-06-22,90.0,32.0,125.0,114.0,1600.0,Unknown,AMD,,,
Intel Core i3-4000M,CPU,2013-09-04,22.0,37.0,118.0,1400.0,2400.0,Intel,Intel,,,
Intel Core i7-10850H,CPU,2020-04-02,14.0,45.0,,,2700.0,Intel,Intel,,,
Intel Core i5-1030G4,CPU,2019-08-01,10.0,12.0,,,700.0,Intel,Intel,,,
Intel Pentium 4-M 2.60,CPU,2003-06-11,130.0,35.0,131.0,55.0,2600.0,Intel,Intel,,,
Intel Celeron 430,CPU,2007-06-03,65.0,35.0,77.0,105.0,1800.0,Intel,Intel,,,
Intel Xeon Platinum 8360Y,CPU,2021-04-06,10.0,250.0,,,2400.0,Intel,Intel,,,
Intel Core i5-3570S,CPU,2012-06-01,22.0,65.0,133.0,,3100.0,Intel,Intel,,,
AMD Opteron 240,CPU,2003-08-05,130.0,82.0,193.0,106.0,1400.0,Unknown,AMD,,,
Intel Core i7-2760QM,CPU,2011-09-04,32.0,45.0,216.0,1160.0,2400.0,Intel,Intel,,,
Intel Xeon MP 3.16,CPU,2005-03-29,90.0,135.0,,,3167.0,Intel,Intel,,,
Intel Pentium Dual-Core E2200,CPU,2007-12-02,65.0,65.0,77.0,105.0,2200.0,Intel,Intel,,,
Intel Atom E625C,CPU,2010-11-22,45.0,3.0,26.0,47.0,600.0,Intel,Intel,,,
Intel Celeron G1610T,CPU,2012-12-03,22.0,35.0,94.0,,2300.0,Intel,Intel,,,
Intel Core i5-4330M,CPU,2013-09-01,22.0,37.0,118.0,1400.0,2800.0,Intel,Intel,,,
Intel Core i5-7300HQ,CPU,2017-01-03,14.0,45.0,,,2500.0,Intel,Intel,,,
Intel Celeron G1610,CPU,2012-12-03,22.0,55.0,94.0,,2600.0,Intel,Intel,,,
Intel Mobile Pentium 4 HT 3.06,CPU,2003-09-23,130.0,70.0,131.0,55.0,3067.0,Intel,Intel,,,
AMD A6-5357M,CPU,2013-06-01,32.0,35.0,246.0,1178.0,2900.0,Unknown,AMD,,,
Intel Xeon L5518,CPU,2009-03-30,45.0,60.0,263.0,731.0,2133.0,Intel,Intel,,,
Intel Xeon E5645,CPU,2010-03-16,32.0,80.0,239.0,1170.0,2400.0,Intel,Intel,,,
AMD A6-9500E,CPU,2017-07-27,28.0,35.0,246.0,1178.0,3000.0,Unknown,AMD,,,
Intel Core Duo ULV L2400,CPU,2006-09-03,65.0,9.0,90.0,151.0,1066.0,Intel,Intel,,,
Intel Core Duo T2500,CPU,2006-01-05,65.0,31.0,90.0,151.0,1992.0,Intel,Intel,,,
Intel Xeon E7-8890 v3,CPU,2015-06-01,22.0,165.0,160.0,1400.0,2500.0,Intel,Intel,,,
AMD Athlon X2 QL-67,CPU,2008-12-01,65.0,35.0,,,2200.0,Unknown,AMD,,,
Intel Pentium 4 2.60,CPU,2002-08-25,130.0,92.0,146.0,55.0,2600.0,Intel,Intel,,,
Intel Xeon E3-1285 v6,CPU,2017-08-01,14.0,79.0,160.0,1400.0,4100.0,Intel,Intel,,,
AMD Sempron 2400+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1667.0,Unknown,AMD,,,
AMD Ryzen 7 1700,CPU,2017-03-02,14.0,65.0,192.0,4800.0,3000.0,GF,AMD,,,
AMD Athlon 64 3000+,CPU,2004-04-27,130.0,32.0,144.0,69.0,1800.0,Unknown,AMD,,,
Intel Core i7-3960X,CPU,2011-11-14,32.0,130.0,435.0,2270.0,3300.0,Intel,Intel,,,
AMD Phenom II X6 1045T,CPU,2010-09-01,45.0,95.0,346.0,904.0,2700.0,Unknown,AMD,,,
AMD A8-4500M,CPU,2012-05-15,32.0,35.0,246.0,1178.0,1900.0,Unknown,AMD,,,
Intel Xeon E5-2660 v2,CPU,2013-09-01,22.0,95.0,160.0,1400.0,2200.0,Intel,Intel,,,
Intel Pentium 4 HT 3.00,CPU,2003-04-14,130.0,82.0,131.0,55.0,3000.0,Intel,Intel,,,
AMD Athlon 64 FX-60,CPU,2006-01-09,90.0,110.0,199.0,233.0,2600.0,Unknown,AMD,,,
Intel Core i5-11400T,CPU,2021-03-16,14.0,35.0,,,1300.0,Intel,Intel,,,
AMD Athlon XP 3100+,CPU,2003-12-01,130.0,68.0,,63.0,2200.0,Unknown,AMD,,,
AMD Sempron 3600+,CPU,2006-05-17,90.0,62.0,,69.0,2200.0,Unknown,AMD,,,
Intel Core i5-10500,CPU,2020-04-30,14.0,65.0,,,3100.0,Intel,Intel,,,
AMD Ryzen 3 PRO 1200,CPU,2017-06-29,14.0,65.0,192.0,4800.0,3100.0,GF,AMD,,,
Intel Xeon Gold 6326,CPU,2021-04-06,10.0,185.0,,,2900.0,Intel,Intel,,,
AMD EPYC Embedded 3251,CPU,2018-02-21,14.0,50.0,213.0,4800.0,2500.0,GF,AMD,,,
Intel Xeon 3.6,CPU,2004-06-28,90.0,135.0,135.0,155.0,3600.0,Intel,Intel,,,
Intel Atom Z2760,CPU,2012-09-27,32.0,3.0,65.0,140.0,1800.0,Intel,Intel,,,
AMD Sempron 3400+,CPU,2006-05-17,90.0,25.0,,69.0,2000.0,Unknown,AMD,,,
Intel Pentium G3258,CPU,2014-06-02,22.0,54.0,177.0,1400.0,3200.0,Intel,Intel,,,
AMD Opteron 856,CPU,2006-04-01,90.0,92.0,,106.0,3000.0,Unknown,AMD,,,
AMD A10-5745M,CPU,2013-06-01,32.0,25.0,246.0,1178.0,2100.0,Unknown,AMD,,,
Intel Core i5-560M,CPU,2010-09-26,32.0,35.0,81.0,382.0,2667.0,Intel,Intel,,,
Intel Pentium 4-M 2.20,CPU,2002-09-16,130.0,35.0,131.0,55.0,2200.0,Intel,Intel,,,
Intel Core i5-430M,CPU,2010-01-07,32.0,35.0,81.0,382.0,2267.0,Intel,Intel,,,
AMD Ryzen Threadripper 2920X,CPU,2018-10-03,12.0,180.0,213.0,19200.0,3500.0,GF,AMD,,,
Intel Core i5-8650K,CPU,2018-09-01,14.0,95.0,,,3700.0,Intel,Intel,,,
Intel Pentium 4 HT 540,CPU,2004-06-21,90.0,84.0,109.0,125.0,3200.0,Intel,Intel,,,
Intel Core i7-8565U,CPU,2018-10-01,14.0,28.0,123.0,,1800.0,Intel,Intel,,,
Intel Atom CE4100,CPU,2009-09-24,45.0,7.0,26.0,47.0,1200.0,Intel,Intel,,,
Intel Core i9-7940X,CPU,2017-09-01,14.0,165.0,,,3100.0,Intel,Intel,,,
Intel Pentium Gold G6600,CPU,2020-04-30,14.0,58.0,,,4200.0,Intel,Intel,,,
Intel Core i9-9900KS,CPU,2019-10-28,14.0,127.0,180.0,,4000.0,Intel,Intel,,,
Intel Atom Z3770,CPU,2013-09-27,22.0,8.0,,,1467.0,Intel,Intel,,,
AMD Opteron X2 865 HE,CPU,2005-08-01,90.0,55.0,,233.0,1800.0,Unknown,AMD,,,
Intel Core i7-980,CPU,2011-06-26,32.0,130.0,239.0,1170.0,3333.0,Intel,Intel,,,
Intel Xeon Gold 6154,CPU,2017-07-11,14.0,200.0,,8000.0,3000.0,Intel,Intel,,,
AMD Ryzen 3 2300X,CPU,2018-08-01,14.0,65.0,210.0,4950.0,3500.0,GF,AMD,,,
Intel Pentium G3250,CPU,2014-07-21,22.0,54.0,177.0,1400.0,3200.0,Intel,Intel,,,
Intel Atom Z500,CPU,2008-04-02,45.0,1.0,26.0,47.0,800.0,Intel,Intel,,,
Intel Celeron E3300,CPU,2009-08-30,45.0,65.0,82.0,228.0,2500.0,Intel,Intel,,,
AMD Athlon 64 X2 4800+,CPU,2006-05-23,90.0,89.0,220.0,154.0,2400.0,Unknown,AMD,,,
AMD Athlon 64 3200+,CPU,2005-05-31,90.0,67.0,156.0,154.0,2000.0,Unknown,AMD,,,
AMD A10-7890K,CPU,2016-01-11,28.0,95.0,246.0,1178.0,4000.0,Unknown,AMD,,,
AMD A10-5757M,CPU,2013-06-01,32.0,35.0,246.0,1178.0,2500.0,Unknown,AMD,,,
AMD Sempron X2 2100,CPU,2008-03-01,65.0,65.0,118.0,221.0,1800.0,Unknown,AMD,,,
Intel Xeon MP 3.00,CPU,2005-03-29,90.0,135.0,,,3000.0,Intel,Intel,,,
Intel Core i7-9850HL,CPU,NaT,14.0,25.0,149.0,,1900.0,Intel,Intel,,,
Intel Core i7-860S,CPU,2010-01-07,45.0,82.0,296.0,774.0,2533.0,Intel,Intel,,,
Intel Pentium 4 HT 3.40,CPU,2004-02-02,130.0,89.0,131.0,55.0,3400.0,Intel,Intel,,,
Intel Celeron 2.60,CPU,2003-06-25,130.0,73.0,146.0,55.0,2600.0,Intel,Intel,,,
AMD Athlon 64 3500+,CPU,2006-05-23,90.0,62.0,183.0,154.0,2200.0,Unknown,AMD,,,
Intel Pentium 4 HT 630,CPU,2005-02-20,90.0,84.0,109.0,169.0,3000.0,Intel,Intel,,,
Intel Celeron 445,CPU,2008-05-01,65.0,65.0,76.0,105.0,1866.0,Intel,Intel,,,
AMD Turion X2 RM-70,CPU,2006-06-01,65.0,31.0,,,2000.0,Unknown,AMD,,,
AMD Opteron 146 HE,CPU,2004-02-14,130.0,55.0,193.0,106.0,2000.0,Unknown,AMD,,,
Intel Core i3-4160,CPU,2014-07-21,22.0,54.0,177.0,1400.0,3600.0,Intel,Intel,,,
Intel Core i7-4790,CPU,2014-05-01,22.0,84.0,177.0,1400.0,3600.0,Intel,Intel,,,
Intel Core i5-3330,CPU,2012-09-03,22.0,77.0,133.0,,3000.0,Intel,Intel,,,
AMD Sempron 2500+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1750.0,Unknown,AMD,,,
Intel Core i7-7700,CPU,2017-01-03,14.0,65.0,,,3600.0,Intel,Intel,,,
Intel Core Duo T2700,CPU,2006-06-28,65.0,31.0,90.0,151.0,2333.0,Intel,Intel,,,
Intel Core Solo ULV U1400,CPU,2006-04-19,65.0,5.0,90.0,151.0,1200.0,Intel,Intel,,,
AMD Athlon 64 3500+,CPU,2004-06-01,130.0,89.0,144.0,69.0,2200.0,Unknown,AMD,,,
AMD Ryzen 5 2400G,CPU,2018-02-12,14.0,65.0,210.0,4950.0,3600.0,GF,AMD,,,
AMD Ryzen 3 3250U,CPU,2020-01-06,12.0,15.0,210.0,4940.0,2600.0,GF,AMD,,,
AMD Athlon II X2 260u,CPU,2009-10-20,45.0,25.0,117.0,410.0,1800.0,Unknown,AMD,,,
Intel Xeon Phi 7230F,CPU,2016-06-20,14.0,230.0,,8000.0,1300.0,Intel,Intel,,,
Intel Xeon 2.8,CPU,2002-09-11,130.0,89.0,217.0,55.0,2790.0,Intel,Intel,,,
Intel Pentium 4 HT 3.2E,CPU,2004-02-01,90.0,115.0,109.0,125.0,3200.0,Intel,Intel,,,
AMD Athlon XP 2400+,CPU,2002-08-21,130.0,65.0,80.0,37.0,2000.0,Unknown,AMD,,,
Intel Core 2 Duo E6320,CPU,2007-04-01,65.0,65.0,143.0,291.0,1860.0,Intel,Intel,,,
AMD Phenom II X2 550 BE,CPU,2009-06-01,45.0,80.0,258.0,758.0,3100.0,Unknown,AMD,,,
Intel Celeron G1850,CPU,2014-05-01,22.0,54.0,177.0,1400.0,2900.0,Intel,Intel,,,
Intel Pentium G622,CPU,2011-05-22,32.0,65.0,131.0,504.0,2600.0,Intel,Intel,,,
Intel Core i3-9000,CPU,2018-09-01,14.0,65.0,,,3700.0,Intel,Intel,,,
AMD Athlon 64 FX-70,CPU,2006-11-30,90.0,125.0,235.0,227.0,2600.0,Unknown,AMD,,,
Intel Atom 230,CPU,2008-06-03,45.0,4.0,96.0,47.0,1600.0,Intel,Intel,,,
AMD Ryzen 5 3600,CPU,2019-07-07,7.0,65.0,74.0,3800.0,3600.0,TSMC,AMD,,,
Intel Pentium 4 HT 2.60,CPU,2003-05-21,130.0,69.0,131.0,55.0,2600.0,Intel,Intel,,,
AMD Ryzen 5 3580U,CPU,2019-10-22,12.0,15.0,210.0,4940.0,2100.0,GF,AMD,,,
Intel Core i5-11500,CPU,2021-03-16,14.0,65.0,,,2700.0,Intel,Intel,,,
Intel Core i7-8706G,CPU,2018-02-01,14.0,65.0,,,3100.0,Intel,Intel,,,
Intel Core i7-4960HQ,CPU,2013-09-01,22.0,47.0,264.0,1400.0,2600.0,Intel,Intel,,,
AMD Mobile Athlon 64 3000+,CPU,2004-08-01,130.0,35.0,193.0,106.0,2000.0,Unknown,AMD,,,
Intel Pentium 4 1.5,CPU,2000-11-20,180.0,58.0,217.0,42.0,1500.0,Intel,Intel,,,
AMD Ryzen Embedded V1202B,CPU,2018-02-21,14.0,15.0,210.0,4950.0,2300.0,GF,AMD,,,
Intel Core i7-870S,CPU,2010-07-19,45.0,82.0,296.0,774.0,2666.0,Intel,Intel,,,
Intel Xeon X5560,CPU,2009-03-30,45.0,95.0,263.0,731.0,2800.0,Intel,Intel,,,
Intel Pentium 4 2.0,CPU,2001-08-27,180.0,72.0,217.0,42.0,2000.0,Intel,Intel,,,
AMD Turion X2 Ultra ZM-80,CPU,2008-06-01,65.0,32.0,,,2100.0,Unknown,AMD,,,
AMD Athlon 64 X2 4600+,CPU,2006-05-23,90.0,89.0,220.0,154.0,2400.0,Unknown,AMD,,,
Intel Core 2 Extreme X6800,CPU,2006-07-27,65.0,75.0,143.0,291.0,2933.0,Intel,Intel,,,
AMD Opteron X2 170,CPU,2005-08-02,90.0,110.0,,233.0,2000.0,Unknown,AMD,,,
Intel Xeon 5040,CPU,2006-05-23,65.0,95.0,,,2830.0,Intel,Intel,,,
Intel Xeon Phi 7250,CPU,2016-06-20,14.0,215.0,,8000.0,1400.0,Intel,Intel,,,
Intel Xeon Gold 6328HL,CPU,2021-04-06,14.0,165.0,,,2800.0,Intel,Intel,,,
Intel Celeron D 330,CPU,2004-06-24,90.0,84.0,109.0,125.0,2667.0,Intel,Intel,,,
Intel Core M-5Y10,CPU,2014-09-05,14.0,5.0,50.0,,800.0,Intel,Intel,,,
AMD Ryzen 5 4600GE,CPU,2020-07-21,7.0,35.0,,,3300.0,TSMC,AMD,,,
Intel Core i7-1185G7,CPU,2020-09-02,10.0,28.0,,,3000.0,Intel,Intel,,,
Intel Core i9-7900X,CPU,2017-06-26,14.0,140.0,,,3300.0,Intel,Intel,,,
Intel Xeon 3.20,CPU,2004-02-01,130.0,97.0,237.0,286.0,3200.0,Intel,Intel,,,
Intel Celeron 2950M,CPU,2013-09-01,22.0,37.0,118.0,1400.0,2000.0,Intel,Intel,,,
Intel Core i9-10900,CPU,2020-04-30,14.0,65.0,,,2800.0,Intel,Intel,,,
Intel Core M-5Y71,CPU,2014-10-27,14.0,5.0,50.0,,1200.0,Intel,Intel,,,
Intel Xeon W-3175X,CPU,2018-12-19,14.0,255.0,,8000.0,3100.0,Intel,Intel,,,
AMD Turion X2 Ultra ZM-85,CPU,2008-09-01,65.0,35.0,,,2300.0,Unknown,AMD,,,
AMD Ryzen 3 2200G,CPU,2018-02-12,14.0,65.0,210.0,4950.0,3500.0,GF,AMD,,,
AMD Phenom II X4 945 (95W),CPU,2009-07-22,45.0,95.0,258.0,758.0,3000.0,Unknown,AMD,,,
AMD EPYC 7F52,CPU,2020-04-14,7.0,155.0,74.0,3800.0,3500.0,TSMC,AMD,,,
Intel Mobile Pentium 4 HT 518,CPU,2004-06-01,90.0,88.0,112.0,125.0,2800.0,Intel,Intel,,,
Intel Core i7-1065G7,CPU,2019-08-01,10.0,25.0,,,1300.0,Intel,Intel,,,
AMD Athlon 64 2850e,CPU,2008-08-01,65.0,22.0,77.0,122.0,1800.0,Unknown,AMD,,,
Intel Core i7-6700,CPU,2015-07-01,14.0,65.0,,,3400.0,Intel,Intel,,,
AMD Athlon 64 X2 4800+,CPU,2006-12-05,65.0,65.0,126.0,154.0,2500.0,Unknown,AMD,,,
Intel Xeon 5080,CPU,2006-05-23,65.0,130.0,,,3730.0,Intel,Intel,,,
Intel Celeron G465,CPU,2012-09-01,32.0,35.0,131.0,504.0,1900.0,Intel,Intel,,,
Intel Core i5-2405S,CPU,2011-05-22,32.0,65.0,216.0,1160.0,2500.0,Intel,Intel,,,
Intel Pentium III 1000S,CPU,2001-06-01,130.0,30.0,80.0,44.0,1000.0,Intel,Intel,,,
Intel Pentium B960,CPU,2011-10-02,32.0,35.0,131.0,504.0,2200.0,Intel,Intel,,,
AMD Opteron 240,CPU,2004-05-18,130.0,82.0,193.0,106.0,1400.0,Unknown,AMD,,,
AMD Athlon 64 X2 4200+ EE,CPU,2006-05-23,90.0,65.0,220.0,154.0,2200.0,Unknown,AMD,,,
AMD Phenom II X6 1075T,CPU,2010-09-21,45.0,125.0,346.0,904.0,3000.0,Unknown,AMD,,,
Intel Core 2 Quad Q6600 (95W),CPU,2007-07-23,65.0,95.0,143.0,582.0,2400.0,Intel,Intel,,,
